Datum	Poz. testovani	Umrti	Poz. testovani - priemer	Umrti - priemer
2020-10-06	4457	24	2992.75	23.25
2020-10-05	3118	26	2827	22.5
2020-10-04	1840	30	2921.75	22.5
2020-10-03	2556	13	3193.25	18.5
2020-10-02	3794	21	3045	20
2020-10-01	3497	26	2417.5	17.5
2020-09-30	2926	14	1869.25	15
2020-09-29	1963	19	1633	15.75
2020-09-28	1284	11	1879	13.5
2020-09-27	1304	16	2284.75	13.25
2020-09-26	1981	17	2535.5	14.5
2020-09-25	2947	10	2637.25	12.75
2020-09-24	2907	10	2269.5	14
2020-09-23	2307	21	1789	13
2020-09-22	2388	10	1723.5	9.75
2020-09-21	1476	15	1653.75	10.25
2020-09-20	985	6	2066	8.25
2020-09-19	2045	8	2353	8.5
2020-09-18	2109	12	2260	9
2020-09-17	3125	7	1989.75	7.5
2020-09-16	2133	7	1406.25	7
2020-09-15	1673	10	1257.25	6.75
2020-09-14	1028	6	1199.75	5
2020-09-13	791	5	1288.25	4.75
2020-09-12	1537	6	1380	4.25
2020-09-11	1443	3	1286	4
2020-09-10	1382	5	1065.5	3.75
2020-09-09	1158	3	822.5	3.25
2020-09-08	1161	5	659.25	3.75
2020-09-07	561	2	568.25	3.25
2020-09-06	410	3	597	3.5
2020-09-05	505	5	655.75	2.75
2020-09-04	797	3	654.25	1.75
2020-09-03	676	3	519	1.25
2020-09-02	645	0	418.5	0.75
2020-09-01	499	1	337.25	1.5
2020-08-31	256	1	333.75	1.25
2020-08-30	274	1	357.25	1
2020-08-29	320	3	387.25	1
2020-08-28	485	0	398.25	0.75
2020-08-27	350	0	341.75	1
2020-08-26	394	1	288.25	1.75
2020-08-25	364	2	248.25	1.5
2020-08-24	259	1	283.25	1.75
2020-08-23	136	3	280	2.25
2020-08-22	234	0	324.25	2.25
2020-08-21	504	3	336	2.25
2020-08-20	246	3	257.75	2.5
2020-08-19	313	3	226.5	2.25
2020-08-18	281	0	197.5	2
2020-08-17	191	4	200	2.5
2020-08-16	121	2	234.5	1.75
2020-08-15	197	2	276.5	1.25
2020-08-14	291	2	299.25	1.25
2020-08-13	329	1	261.5	0.75
2020-08-12	289	0	209.75	0.75
2020-08-11	288	2	180.75	0.75
2020-08-10	140	0	189.5	0.25
2020-08-09	122	1	208.25	0.5
2020-08-08	173	0	237.75	0.5
2020-08-07	323	0	266.25	1
2020-08-06	215	1	237.5	1.5
2020-08-05	240	1	209	1.75
2020-08-04	287	2	179.75	2
2020-08-03	208	2	165.75	2
2020-08-02	101	2	177	2
2020-08-01	123	2	220.25	2
2020-07-31	231	2	258.75	2
2020-07-30	253	2	249.5	2
2020-07-29	274	2	214.75	1.75
2020-07-28	277	2	179.25	1.75
2020-07-27	194	2	179.5	2
2020-07-26	114	1	188.75	1.75
2020-07-25	132	2	221.5	2
2020-07-24	278	3	240.25	2
2020-07-23	231	1	213	1.25
2020-07-22	245	2	178	1.25
2020-07-21	207	2	144.75	0.75
2020-07-20	169	0	125	0.75
2020-07-19	91	1	117	0.75
2020-07-18	112	0	127.75	0.5
2020-07-17	128	2	125.5	1
2020-07-16	137	0	109.5	0.75
2020-07-15	134	0	90	1
2020-07-14	103	2	69.75	1
2020-07-13	64	1	79.25	0.5
2020-07-12	59	1	89.5	0.5
2020-07-11	53	0	107	0.25
2020-07-10	141	0	123.25	0.25
2020-07-09	105	1	100.75	0.5
2020-07-08	129	0	93.25	0.75
2020-07-07	118	0	91.25	1.25
2020-07-06	51	1	96.5	1.25
2020-07-05	75	2	116.75	1.25
2020-07-04	121	2	120.75	0.75
2020-07-03	139	0	120.6666667	0.333333333
2020-07-02	132	1	111.5	0.5
2020-07-01	91	0	91	0
